Anise, Chocolate,
Apricot, Chocolate, 
Avocado, Chocolate,
Banana, Chocolate, 
Beet, Chocolate,
Black Pudding, Chocolate,
Cauliflower, Chocolate,
Cherry, Chocolate, 
Cinnamon, Chocolate,
Coffee, Chocolate
Fig, Chocolate, 
Ginger, Chocolate, 
Goat Cheese, Chocolate,
Lemon, Chocolate, 
Mint, Chocolate, 
Orange, Chocolate, 
Pineapple, Chocolate, 
Rose, Chocolate, 
Rosemary, Chocolate, 
Thyme, Chocolate, 
Vanilla, Chocolate, 
Watermelon, Chocolate, 
White Chocolate, Chocolate, 
Avocado, Coffee,
Banana, Coffee, 
Clove, Coffee, 
Coriander Seed, Coffee, 
Goat Cheese, Coffee,
Vanilla, Coffee, 
White Chocolate, Coffee, 
Banana, Peanut, 
Black Currant, Peanut, 
Celery, Peanut,
Chili, Peanut,
Chocolate, Peanut
Cilantro, Peanut,
Grape, Peanut, 
Mint, Peanut, 
Pork, Peanut,
Potato, Peanut,
Almond, Chicken, 
Anise, Chicken,
Bacon, Chicken,
Banana, Chicken, 
Basil, Chicken,
Blue Cheese, Chicken,
Cabbage, Chicken,
Celery, Chicken,
Chestnut, Chicken, 
Coconut, Chicken, 
Egg, Chicken,
Garlic, Chicken,
Grape, Chicken, 
Hazelnut, Chicken, 
Lemon, Chicken, 
Oyster, Chicken,
Pea, Chicken,
Peanut, Chicken
Saffron, Chicken,
Shellfish, Chicken,
Truffle, Chicken,
Watercress, Chicken,
Apple, Pork, 
Apricot, Pork, 
Beet, Pork,
Black Pudding, Pork,
Butternut Squash, Pork, 
Cabbage, Pork,
Chestnut, Pork, 
Chili, Pork,
Cinnamon, Pork,
Clove, Pork, 
Coriander Seed, Pork, 
Cucumber, Pork,
Dill, Pork,
Ginger, Pork, 
Globe Artichoke, Pork,
Grape, Pork, 
Juniper, Pork, 
Mushroom, Pork,
Onion, Pork,
Oyster, Pork,
Parsnip, Pork, 
Pea, Pork,
Pear, Pork, 
Pineapple, Pork, 
Rosemary, Pork, 
Sage, Pork, 
Shellfish, Pork,
Thyme, Pork, 
Truffle, Pork,
Watercress, Pork,
Watermelon, Pork, 
Apple, Black Pudding, 
Beef, Liver,
Black Pudding, Liver,
Fig, Liver, 
Sage, Liver, 
Truffle, Liver,
Anchovy, Beef,
Anise, Beef,
Bell Pepper, Beef,
Blackberry, Beef, 
Blue Cheese, Beef,
Broccoli, Beef,
Cabbage, Beef,
Celery, Beef,
Clove, Beef, 
Coffee, Beef
Dill, Beef,
Ginger, Beef, 
Hard Cheese, Beef,
Lemon, Beef, 
Lime, Beef, 
Mint, Beef, 
Olive, Beef,
Orange, Beef, 
Oyster, Beef,
Parsnip, Beef, 
Pea, Beef,
Peanut, Beef
Pork, Beef,
Potato, Beef,
Shellfish, Beef,
Thyme, Beef, 
Watercress, Beef,
Black Pudding, Lamb,
Caper, Lamb,
Cardamom, Lamb, 
Celery, Lamb,
Chestnut, Lamb, 
Cilantro, Lamb,
Cinnamon, Lamb,
Dill, Lamb,
Garlic, Lamb,
Globe Artichoke, Lamb,
Lemon, Lamb, 
Nutmeg, Lamb, 
Onion, Lamb,
Peanut, Lamb
Potato, Lamb,
Rhubarb, Lamb, 
Rosemary, Lamb, 
Shellfish, Lamb,
Thyme, Lamb, 
Tomato, Lamb, 
Anise, Goat Cheese,
Basil, Goat Cheese,
Beet, Goat Cheese,
Butternut Squash, Goat Cheese, 
Cherry, Goat Cheese, 
Coriander Seed, Goat Cheese, 
Cucumber, Goat Cheese,
Fig, Goat Cheese, 
Lamb, Goat Cheese,
Lemon, Goat Cheese, 
Mushroom, Goat Cheese,
Olive, Goat Cheese,
Thyme, Goat Cheese, 
Watercress, Goat Cheese,
Cumin, Washed-rind Cheese,
Potato, Washed-rind Cheese,
Bacon, Blue Cheese,
Blueberry, Blue Cheese, 
Celery, Blue Cheese,
Grape, Blue Cheese, 
Mushroom, Blue Cheese,
Watercress, Blue Cheese,
Anchovy, Hard Cheese,
Apple, Hard Cheese, 
Apricot, Hard Cheese, 
Bacon, Hard Cheese,
Cauliflower, Hard Cheese,
Chicken, Hard Cheese
Juniper, Hard Cheese, 
Mushroom, Hard Cheese,
Nutmeg, Hard Cheese, 
Orange, Hard Cheese, 
Pea, Hard Cheese,
Pear, Hard Cheese, 
Shellfish, Hard Cheese,
Walnut, Hard Cheese, 
White Fish, Hard Cheese,
Caper, Soft Cheese,
Caviar, Soft Cheese,
Cinnamon, Soft Cheese,
Eggplant, Soft Cheese,
Strawberry, Soft Cheese, 
Asparagus, Mushroom,
Beef, Mushroom,
Blueberry, Mushroom, 
Chicken, Mushroom,
Oyster, Mushroom,
Potato, Mushroom,
Rosemary, Mushroom, 
Soft Cheese, Mushroom,
Lamb, Eggplant,
Prosciutto, Eggplant,
Tomato, Eggplant, 
Walnut, Eggplant, 
Carrot, Cumin, 
Cilantro, Cumin,
Egg, Cumin,
Lamb, Cumin,
Lime, Cumin, 
Mango, Cumin, 
Pork, Cumin,
Shellfish, Cumin,
Apple, Beet, 
Beef, Beet,
Caper, Beet,
Cumin, Beet,
Egg, Beet,
Horseradish, Beet,
Liver, Beet,
Onion, Beet,
Orange, Beet, 
Potato, Beet,
Walnut, Beet, 
Anchovy, Potato,
Asparagus, Potato,
Black Pudding, Potato,
Caper, Potato,
Cauliflower, Potato,
Celery, Potato,
Chicken, Potato,
Cilantro, Potato,
Cumin, Potato,
Dill, Potato,
Globe Artichoke, Potato,
Hard Cheese, Potato,
Horseradish, Potato,
Lemon, Potato, 
Mint, Potato, 
Oily Fish, Potato,
Olive, Potato,
Parsley, Potato,
Parsnip, Potato, 
Pork, Potato,
Saffron, Potato,
Smoked Fish, Potato,
Watercress, Potato,
White Fish, Potato,
Carrot, Celery, 
Chestnut, Celery, 
Egg, Celery,
Nutmeg, Celery, 
Onion, Celery,
Oyster, Celery,
Pork, Celery,
Prosciutto, Celery,
Soft Cheese, Celery,
Truffle, Celery,
Walnut, Celery, 
White Fish, Celery,
Anchovy, Watercress,
Beet, Watercress,
Grapefruit, Watercress, 
Orange, Watercress, 
Parsnip, Watercress, 
Beef, Caper,
Cauliflower, Caper,
Goat Cheese, Caper,
Olive, Caper,
Parsley, Caper,
Tomato, Caper, 
Apple, Horseradish, 
Beef, Horseradish,
Celery, Horseradish,
Pea, Horseradish,
Smoked Fish, Horseradish,
Tomato and Horseradish, 
Bacon, Onion,
Beef, Onion,
Black Pudding, Onion,
Cabbage, Onion,
Carrot, Onion, 
Chicken, Onion,
Egg, Onion,
Garlic, Onion,
Hard Cheese, Onion,
Liver, Onion,
Mushroom, Onion,
Oily Fish, Onion,
Oyster, Onion,
Pea, Onion,
Potato, Onion,
Rosemary, Onion, 
Thyme, Onion, 
Tomato, Onion, 
Anchovy, Garlic,
Beef, Garlic,
Broccoli, Garlic,
Cabbage, Garlic,
Cauliflower, Garlic,
Chili, Garlic,
Cilantro, Garlic,
Coriander Seed, Garlic, 
Eggplant, Garlic,
Goat Cheese, Garlic,
Hazelnut, Garlic, 
Liver, Garlic,
Mint, Garlic, 
Mushroom, Garlic,
Oily Fish, Garlic,
Olive, Garlic,
Parsley, Garlic,
Pork, Garlic,
Potato, Garlic,
Shellfish, Garlic,
Soft Cheese, Garlic,
Tomato, Garlic, 
Truffle, Garlic,
Walnut, Garlic, 
Washed-rind Cheese, Garlic,
Asparagus, Truffle,
Beef, Truffle,
Blue Cheese, Truffle,
Cauliflower, Truffle,
Globe Artichoke, Truffle,
Mushroom, Truffle,
Potato, Truffle,
Soft Cheese, Truffle,
Apple, Cabbage, 
Blue Cheese, Cabbage,
Carrot, Cabbage, 
Chestnut, Cabbage, 
Chili, Cabbage,
Egg, Cabbage,
Ginger, Cabbage, 
Juniper, Cabbage, 
Lamb, Cabbage,
Nutmeg, Cabbage, 
Potato, Cabbage,
Smoked Fish, Cabbage,
Truffle, Cabbage,
Beef, Rutabaga,
Lamb, Rutabaga,
Pork, Rutabaga,
Potato, Rutabaga,
Anchovy, Cauliflower,
Broccoli, Cauliflower,
Caviar, Cauliflower,
Cumin, Cauliflower,
Saffron, Cauliflower,
Anchovy, Broccoli,
Blue Cheese, Broccoli,
Hard Cheese, Broccoli,
Peanut, Broccoli
Pork, Broccoli,
Walnut, Broccoli, 
Hard Cheese, Globe Artichoke,
Pea, Globe Artichoke,
Prosciutto, Globe Artichoke,
Almond, Asparagus, 
Egg, Asparagus,
Hard Cheese, Asparagus,
Lemon, Asparagus, 
Oily Fish, Asparagus,
Orange, Asparagus, 
Pea, Asparagus,
Prosciutto, Asparagus,
Shellfish, Asparagus,
White Fish, Asparagus,
Anise, Egg,
Bacon, Egg,
Basil, Egg,
Beef, Egg,
Bell Pepper, Egg,
Black Pudding, Egg,
Caviar, Egg,
Chili, Egg,
Ginger, Egg, 
Mushroom, Egg,
Oily Fish, Egg,
Oyster, Egg,
Parsley, Egg,
Pork, Egg,
Potato, Egg,
Sage, Egg, 
Smoked Fish, Egg,
Truffle, Egg,
Watercress, Egg,
Apple, Shellfish, 
Avocado, Shellfish,
Bacon, Shellfish,
Black Pudding, Shellfish,
Butternut Squash, Shellfish, 
Cabbage, Shellfish,
Caper, Shellfish,
Cauliflower, Shellfish,
Celery, Shellfish,
Cucumber, Shellfish,
Dill, Shellfish,
Egg, Shellfish,
Globe Artichoke, Shellfish,
Grapefruit, Shellfish, 
Mango, Shellfish, 
Mushroom, Shellfish,
